's Gravenbrakel	's  Gravenbrakel
Bocht van Gdansk	Bochth van Gdansk	Bokht van Gdansk	Bossht van Gdansk	Bochd van Gdansk	Bogt van Gdansk	Bogd van Gdansk	Beaucht van Gdansk
Bocht van Helgoland	Bochth van Helgoland	Bokht van Helgoland	Bossht van Helgoland	Bochd van Helgoland	Bogt van Helgoland	Bogd van Helgoland	Beaucht van Helgoland
Boergondisch Kanaal	
Boergondische Poort	
Boheems-Moravische Hoogten	Boheems-Moravische Hoogden	Boheems-Moravische Hoogte
Bohemer Woud	Bohemer Wout
Bos en Lommer	Beaus En lommer	Bosch En lommer	Boss En lommer	Bos E lommer
Bourgondisch Kanaal	
Bourgondische Poort	
Boven-Rijnse Laagvlakte	Boven-Rijnse Laagvlakte
Braziliaans Bekken	Braziliaans Bekke
Britse Maagdeneilanden	Britsen Maagdeneilanden
Buenos Airees	
Buenos Aires	
Burkina Faso	
Campanische Archipel	
Canadees Bekken	Canadees Bekke	Canadeesbekken
Canadees Schild	Canadeesschild
Cantabrisch Gebergte	Cantabrisch Gebergten
Capelle aan den IJssel	Capelle aan de IJssel	Capelle a-an den IJssel	Capenlle aan den IJssel	Capellen aan den IJssel	Capellle aan den IJssel	Capijlle aan den IJssel	Capellij aan den IJssel	Capelle aan dijn IJssel	Capaille aan den IJssel	Capellai aan den IJssel	Capelle aan deden IJssel
Caraïbische Zee	Caraïbische Zeen
Caribische Zee	Caribische Zeen
Carolus Borromeus	
Cees Buddingh'	Kees Buddingh'
Centraal Massief	
Centraal-Afrikaanse Meren	Centraal-Afrikaanse Mere	Centraal-Afrikaanse Merijn
Centraal-Afrikaanse Republiek	
Centraal-Indische Rug	Centraal-Indische
Centraal-Pacifisch Bekken	Centraal-Pacifisch Bekke
Centraal-Pacifische Rug	Centraal-Pacifische
Centrale Cordillera	
Centrumraad Rotterdam	
Charles Darwin	
Charles Dickens	Charles Dickes	Charles Dikkens
Charles Lindbergh	
Charles de Gaulle	Charless de Gaulle	Charlens de Gaulle	Charles den Gaulle	Charlles de Gaulle	Charlijs de Gaulle	Charles dij Gaulle	Charlesch de Gaulle	Charlais de Gaulle	Kharles de Gaulle	Ssharles de Gaulle
Charlie Chaplin	Charly Chaplin
Charlotte Amalie	
Che Guevara	Chen Guevara	Ge Guevara	Chai Guevara
Chileens Lengtedal	
Chinees Laagland	Chineesslaagland	Chineesklaagland	Chineesplaagland
Christiaan Huygens	Christiaan Huijgens
Christoffel Columbus	
Christoffel Plantijn	Christoffel Plantijn
Claes Janszoon Visscher	Cla-es Janszoon Visscher	Claess Janszoon Visscher	Claens Janszoon Visscher	Cllaes Janszoon Visscher	Claijs Janszoon Visscher	Claesch Janszoon Visscher	Clës Janszoon Visscher	Claais Janszoon Visscher	Klaes Janszoon Visscher	Sslaes Janszoon Visscher
Cockburn Town	Cockburn Down
Constantijn Huygens	Constantijn Huygens	Constantijn Huijgens
Cordillera de los Andes	Cordillera de loss Andes	Cordillenra de los Andes	Cordillera den los Andes	Cordillërsa de los Andes	Cordilllera de los Andes	Corddillera de los Andes	Cordillera dde los Andes	Cordillijra de los Andes	Cordillera dij los Andes	Cordillaira de los Andes	Cordillera dai los Andes	Cordillera dede los Andes	Ceaurdillera de los Andes
Cottische Alpen	
Dalmatische Eilanden	
Dante Alighieri	
David Livingstone	David Livingstonen
De Baarsjes	Den Baarsjes	Dij Baarsjes
De Backer	De Bakker	Den Backer	Dij Backer
De Bilt	Den Bilt	Dij Bilt
De Bruyn	Den Bruyn	De Bruijn	Dij Bruyn
De Clercq	Den Clercq	Dij Clercq	Declercq
De Cock	Den Cock	Dij Cock	Decock
De Coninck	Den Coninck	Dij Coninck
De Groot	Den Groot	Dij Groot
De Groote	De Grootte	Den Groote	De Grooten	Dij Groote
De Haan	Den Haan	Dij Haan
De Klinge	De Klingen	Den Klinge	Dij Klinge
De Meern	Den Meern	Dij Meern
De Meyer	Den Meyer	De Meijer	Dij Meyer
De Moeren	Den Moeren	Dij Moeren	De Moere
De Morgen	Den Morgen	Dij Morgen
De Panne	De Pannen	Den Panne	Dij Panne
De Pauw	Den Pauw	Dij Pauw
De Pinte	De Pinde	De Pinten	Den Pinte	Dij Pinte
De Ridder	Den Ridder	Dij Ridder
De Ronde Venen	De Rondde venen	De Ronde vennen	De Ronden venen	Den Ronde venen	De Ronde veen	Dede Ronde venen	Dai Ronde venen	De Ronde venijn	Dij Ronde venen	Dde Ronde venen
De Smedt	Den Smedt	Dij Smedt	Desmedt
De Smet	De Smijt	Den Smet	Dij Smet	Desmet
De Standaard	Den Standaard	Dij Standaard
De Stijl	De Steil	De Stijl	Den Stijl	Dij Stijl
De Telegraaf	Den Telegraaf	Dij Telegraaf
De Tijd	De Tijd	Den Tijd	Dij Tijd	Dektijd
De Vos	Den Vos	Dij Vos	De Voss	Devos
De Wilde	De Wilden	Den Wilde	Dij Wilde
De Winter	Den Winter	Dij Winter	De Winder
De Wolden	Den Wolden	Dij Wolden
Den Briel	Den Bril	De Briel	Dijn Briel	Deden Briel
Den Ham	De Ham	Deden Ham	Dijn Ham
Den Helder	De Helder	Deden Helder	Dijn Helder
Den Uyl	De Uyl	Den Uijl	Dijn Uyl	Deden Uyl
Deng Xiaoping	
Deo volente	
Desi Bouterse	
Desiderius Erasmus	
Dick Bruna	
Dinarische Alpen	
Dode Zee	Dodde Zee	Dode Zeen	Doden Zee
Domela Nieuwenhuis	
Dominicaanse Republiek	
Douglas Adams	
Dries van Agt	Dri-es van Agt	Driess van Agt	Driens van Agt	Driijs van Agt	Driesch van Agt	Drys van Agt	Dry's van Agt	Drisch van Agt	Driais van Agt	Dris van Agt	Ddries van Agt
Duitse Bocht	
Dwight Eisenhower	
Dzjoengaarse Poort	
E. coli	E. colli
Eddy Merckx	
Edgar Allan Poe	Eddgar Allan Poe	Edchar Allan Poe	Edggear Allan Poe	Endgar Allan Poe	IJdgar Allan Poe	Tgar Allan Poe	Aidgar Allan Poe
Eduard Douwes Dekker	Eduard Douwes Decker
Eerste Kamer	Eersten Kamer
Egadische Eilanden	
Egeïsche Zee	Egeïsche Zeen
Eilanden beneden de wind	Eilande beneden de wind	Eilanden beeden de wind	Eilanden benede de wind	Eilandenn beneden de wind	Eilanden benneden de wind	Eilanden benenden de wind	Eilanden benedenn de wind	Eilanden beneden den wind	Eillanden beneden de wind	Eilandden beneden de wind	Eilanden benedden de wind	Eilandijn beneden de wind	Eilanden bijneden de wind	Eilanden benijden de wind	Eilanden benedijn de wind
Eilanden boven de wind	Eilande boven de wind	Eilanden bove de wind	Eilandenn boven de wind	Eilanden bovenn de wind	Eilanden boven den wind	Eillanden boven de wind	Eilandden boven de wind	Eilandijn boven de wind	Eilanden bovijn de wind	Eilanden boven dij wind	Eilanden boofn de wind	Eilandain boven de wind	Eilanden bovain de wind	Eilandeden boven de wind	Eilanden beauven de wind
Eise Eisinga	Eisen Eisinga
El Obeid	Ell Obeid	IJl Obeid
Elena Ceausescu	
Emile Zola	
Enzo Ferrari	
Eolische Eilanden	
Erich Honecker	
Ernest Hemingway	
Ethiopisch Hoogland	
Etruskische Apennijnen	Etruskische Apennijnen
Eva Braun	
Fehmarn Belt	Fehmarn Beld
Ferdinand Domela Nieuwenhuis	Fenrdinand Domela Nieuwenhuis	Fërsdinand Domela Nieuwenhuis	Ferddinand Domela Nieuwenhuis	Ferdinandd Domela Nieuwenhuis	Fijrdinand Domela Nieuwenhuis	Fairdinand Domela Nieuwenhuis
Fidel Castro	
Filips II	Filips IJ
Filips de Goede	Filips Dij goede	Fillips De goede	Filips De goeden	Filips Den goede	Filipss De goede	Filipss de Goede	Filips den Goede	Fillips de Goede	Filips dij Goede	Filipsch de Goede
Filips de Schone	Filipsch De schone	Filips Dij schone	Fillips De schone	Filips De schonen	Filips Den schone	Filipss De schone
Finse Golf	
Finse Merenvlakte	Finse Merenvlakten
Floris V	
Flying Fish Cove	Flyings Fish Cove	Fllying Fish Cove	Flyinch Fish Cove	Flijing Fish Cove	Flyingge Fish Cove	Flyiging Fish Cove
Franciscus van Assisi	Francisscus van Assisi	Franciscuss van Assisi	Franciscoes van Assisi	Frankiscus van Assisi	Franciskus van Assisi	Franssiscus van Assisi	Francisssus van Assisi	Franciscijs van Assisi	Francischcus van Assisi	Franciscusch van Assisi	Francicuss van Assisi
Frank Zappa	Franc Zappa
Frans Hals	Frans Halls
Franse Alpen	Fransen Alpen
Franz Joseph Strauss	Franss Joseph Strauss	Franz Josef Strauss
Frederik Hendrik	Frederic Hendrik
Friedrich Nietzsche	
Galileo Galilei	
Gautama Boeddha	
Gazet van Antwerpen	Gazeth van Antwerpen	Gazent van Antwerpen	Gazijt van Antwerpen	Gazed van Antwerpen	Gasset van Antwerpen	Gazait van Antwerpen	Chazet van Antwerpen	Ggeazet van Antwerpen
Gele Rivier	Gijle Rivier	Gelen Rivier
Gele Zee	Gijle Zee	Gele Zeen	Gelen Zee
George Orwell	
George W. Bush	Genorge W. Bush	Georgen W. Bush	Gijorge W. Bush	Georgij W. Bush	Georche W. Bush	Gaiorge W. Bush	Georgai W. Bush	Georggee W. Bush	Geeaurge W. Bush	Cheorge W. Bush
Gerard Reve	Gerard Reven
Gerard van Velzen	Genrard van Velzen	Gërsard van Velzen	Gerardd van Velzen	Gijrard van Velzen	Gairard van Velzen	Cherard van Velzen	Ggeerard van Velzen
Gerrit Jan van Heuven Goedhart	Gerrith Jan van Heuven Goedhart	Genrrit Jan van Heuven Goedhart	Gërsrit Jan van Heuven Goedhart	Gijrrit Jan van Heuven Goedhart	Gerrid Jan van Heuven Goedhart	Gairrit Jan van Heuven Goedhart	Cherrit Jan van Heuven Goedhart	Ggeerrit Jan van Heuven Goedhart
Gerrit Krol	Gerrit Kroll
Gerrit Rietveld	Gerrit Rietvelt
Gerry Adams	
Gijsbrecht van Amstel	Gijsbrechth van Amstel	Gi-jsbrecht van Amstel	Gijssbrecht van Amstel	Gijsbrencht van Amstel	Gijsbrechts van Amstel	Gijsbrekht van Amstel	Gijsbrecht van Amstel	Gijsbressht van Amstel	Gijsbrijcht van Amstel	Gijsbrechd van Amstel	Gijschbrecht van Amstel	Gijsbregt van Amstel	Geisbrecht van Amstel	Gijsbregd van Amstel	Gijsbraicht van Amstel
Gilze en Rijen	Gilzij En rijen	Gilze En rijen	Gillze En rijen	Gilzen En rijen	Gilze E rijen	Ggeilze En rijen	Gilzai En rijen	Gilze En reien	Gilsse En rijen	Chilze En rijen
Godfried Bomans	
Golf van Aden	Golf van Ade	Gollf van Aden	Geaulf van Aden	Cholf van Aden	Ggeolf van Aden
Golf van Ajaccio	Gollf van Ajaccio	Geaulf van Ajaccio	Cholf van Ajaccio	Ggeolf van Ajaccio
Golf van Akaba	Gollf van Akaba	Geaulf van Akaba	Cholf van Akaba	Ggeolf van Akaba
Golf van Anadyr	Gollf van Anadyr	Geaulf van Anadyr	Cholf van Anadyr	Ggeolf van Anadyr
Golf van Argolis	Gollf van Argolis	Geaulf van Argolis	Cholf van Argolis	Ggeolf van Argolis
Golf van Bengalen	Gollf van Bengalen	Geaulf van Bengalen	Cholf van Bengalen	Ggeolf van Bengalen
Golf van Boergas	Gollf van Boergas	Geaulf van Boergas	Cholf van Boergas	Ggeolf van Boergas
Golf van Bone	Golf Van bonen	Golf Van bonte	Golf van Bonte	Gollf van Bone	Geaulf van Bone	Cholf van Bone	Ggeolf van Bone
Golf van Californië	Gollf van Californië	Geaulf van Californië	Cholf van Californië	Ggeolf van Californië
Golf van Egina	Gollf van Egina	Geaulf van Egina	Cholf van Egina	Ggeolf van Egina
Golf van Gabès	Gollf van Gabès	Geaulf van Gabès	Cholf van Gabès	Ggeolf van Gabès
Golf van Genua	Geaulf Van genua	Gollf Van genua	Ggeolf Van genua	Cholf Van genua	Gollf van Genua	Geaulf van Genua	Cholf van Genua	Ggeolf van Genua
Golf van Guinee	Gollf van Guinee	Geaulf van Guinee	Cholf van Guinee	Ggeolf van Guinee
Golf van Kiparissia	Gollf van Kiparissia	Geaulf van Kiparissia	Cholf van Kiparissia	Ggeolf van Kiparissia
Golf van Korinthe	Gollf van Korinthe	Geaulf van Korinthe	Cholf van Korinthe	Ggeolf van Korinthe
Golf van Martaban	Gollf van Martaban	Geaulf van Martaban	Cholf van Martaban	Ggeolf van Martaban
Golf van Messina	Gollf van Messina	Geaulf van Messina	Cholf van Messina	Ggeolf van Messina
Golf van Mexico	Gollf van Mexico	Geaulf van Mexico	Cholf van Mexico	Ggeolf van Mexico
Golf van Napels	Gollf van Napels	Geaulf van Napels	Cholf van Napels	Ggeolf van Napels
Golf van Oman	Gollf van Oman	Geaulf van Oman	Cholf van Oman	Ggeolf van Oman
Golf van Patras	Gollf van Patras	Geaulf van Patras	Cholf van Patras	Ggeolf van Patras
Golf van Petalia	Gollf van Petalia	Geaulf van Petalia	Cholf van Petalia	Ggeolf van Petalia
Golf van Riga	Gollf van Riga	Geaulf van Riga	Cholf van Riga	Ggeolf van Riga
Golf van Rijeka	Gollf van Rijeka	Golf van Rijeka	Geaulf van Rijeka	Cholf van Rijeka	Ggeolf van Rijeka
Golf van Sidra	Gollf van Sidra	Geaulf van Sidra	Cholf van Sidra	Ggeolf van Sidra
Golf van Strimon	Gollf van Strimon	Geaulf van Strimon	Cholf van Strimon	Ggeolf van Strimon
Golf van Suez	Gollf van Suez	Geaulf van Suez	Cholf van Suez	Ggeolf van Suez
Golf van Tarente	Gollf van Tarente	Geaulf van Tarente	Cholf van Tarente	Ggeolf van Tarente
Golf van Thailand	Gollf van Thailand	Geaulf van Thailand	Cholf van Thailand	Ggeolf van Thailand
Golf van Thessaloniki	Gollf van Thessaloniki	Geaulf van Thessaloniki	Cholf van Thessaloniki	Ggeolf van Thessaloniki
Golf van Tolo	Gollf van Tolo	Geaulf van Tolo	Cholf van Tolo	Ggeolf van Tolo
Golf van Tomini	Gollf van Tomini	Geaulf van Tomini	Cholf van Tomini	Ggeolf van Tomini
Golf van Tonkin	Gollf van Tonkin	Geaulf van Tonkin	Cholf van Tonkin	Ggeolf van Tonkin
Golf van Triëst	Gollf van Triëst	Geaulf van Triëst	Cholf van Triëst	Ggeolf van Triëst
Golf van Venetië	Gollf van Venetië	Geaulf van Venetië	Cholf van Venetië	Ggeolf van Venetië
Golf van Volos	Gollf van Volos	Geaulf van Volos	Cholf van Volos	Ggeolf van Volos
Gouden Hoorn	
Graft-De Rijp	Graft-De Rijp
Grajische Alpen	
Greet Hofmans	
Greet Hofmansaffaire	
Groene Boekje	Groenen Boekje
Groot Artesisch Bekken	Groeaut Artesisch bekken	Greauot Artesisch bekken	Greaut Artesisch bekken	Grood Artesisch bekken	Gro-ot Artesisch bekken	Grooth Artesisch bekken	Ggeroot Artesisch bekken	Chroot Artesisch bekken
Groot Australisch Scheidingsgebergte	
Groot Barrièrerif	
Grote Antillen	Groten Antillen
Grote Arabische Woestijn	Grothe Arabische Woestijn	Grotte Arabische Woestijn	Groten Arabische Woestijn	Grote Arabische Woestijn	Grotij Arabische Woestijn	Grode Arabische Woestijn	Grotai Arabische Woestijn	Greaute Arabische Woestijn
Grote Australische Bocht	Grothe Australische Bocht	Grotte Australische Bocht	Groten Australische Bocht	Grotij Australische Bocht	Grode Australische Bocht	Grotai Australische Bocht	Greaute Australische Bocht	Chrote Australische Bocht
Grote Bekken	Groten Bekken	Grote Bekke
Grote Belt	Groten Belt	Grote Beld
Grote Fatra	Groten Fatra
Grote Hongaarse Laagvlakte	Grothe Hongaarse Laagvlakte	Grotte Hongaarse Laagvlakte	Groten Hongaarse Laagvlakte	Grotij Hongaarse Laagvlakte	Grode Hongaarse Laagvlakte	Grotai Hongaarse Laagvlakte	Greaute Hongaarse Laagvlakte	Chrote Hongaarse Laagvlakte
Grote Kanaal	Groten Kanaal
Grote Kapela	Groten Kapela
Grote Meren	Groten Meren	Grote Mere	Grote Merijn
Grote Oceaan	Groten Oceaan
Grote Pier	Groten Pier
Grote Sint-Bernhardpas	Groten Sint-Bernhardpas
Grote Slenk	Groten Slenk	Grote Slek
Grote Soenda-eilanden	Groten Soenda-eilanden
Grote Van Dale	Grothe Van Dale	Grotte Van Dale	Groten Van Dale	Grotij Van Dale	Grode Van Dale	Grotai Van Dale	Greaute Van Dale	Chrote Van Dale
Grote Victoriawoestijn	Grote Victoriawoestijn	Groten Victoriawoestijn
Grote Visbaai	Groten Visbaai
Grote Vissersbank	Groten Vissersbank
Grote Zandwoestijn	Grote Zandwoestijn	Groten Zandwoestijn
Grote Zoutwoestijn	Grote Zoutwoestijn	Groten Zoutwoestijn
Guido Gezelle	Guido Gezellen
Haarlemmerliede en Spaarnwoude	Haarlemmerliede e Spaarnwoude	Ha-arlemmerliede en Spaarnwoude	Haarlemmerli-ede en Spaarnwoude	Haarlenmmerliede en Spaarnwoude	Haarlemmenrliede en Spaarnwoude	Haarlemmerliende en Spaarnwoude	Haarlemmerlieden en Spaarnwoude	Haarlemmërsliede en Spaarnwoude	Haarllemmerliede en Spaarnwoude	Haarlemmerlliede en Spaarnwoude	Haarlemmerliedde en Spaarnwoude	Haarlijmmerliede en Spaarnwoude	Haarlemmijrliede en Spaarnwoude	Haarlemmerliijde en Spaarnwoude	Haarlemmerliedij en Spaarnwoude
Hare Majesteit	Haren Majesteit
Hare Majesteit de Koningin	Hare Majestheit de Koningin	Hare Majesteith de Koningin	Hare Majeste-it de Koningin	Hare Majestteit de Koningin	Hare Majessteit de Koningin	Haren Majesteit de Koningin	Hare Majensteit de Koningin	Hare Majestenit de Koningin	Hare Majesteit den Koningin	Hare Maijesteit de Koningin	Harij Majesteit de Koningin	Hare Majijsteit de Koningin	Hare Majestijit de Koningin	Hare Majesteit dij Koningin
Harer Majesteits	
Harry Houdini	
Heilige Stoel	Heiligen Stoel
Hella Haasse	
Henck Arron	Heck Arron
Hendrikus Colijn	Hendrikus Colijn	Hendricus Colijn
Henri Matisse	
Henry Ford	Henry Fort
Heren XVII	Here XVII	Heren-XVII
Herman Gorter	
Herman Melville	
Herman van Woerden	Henrman Van woerden	Hairman Van woerden	Hijrman Van woerden	Hërsman Van woerden	Herman van Woerde	Henrman van Woerden	Hërsman van Woerden	Hijrman van Woerden	Hairman van Woerden
Het Laatste Nieuws	Hait Laatste nieuws	Hed Laatste nieuws	Hijt Laatste nieuws	Het Laatsten nieuws	Hent Laatste nieuws	Heth Laatste nieuws
Het Parool	
Hirsi Ali	
Ho Chi Minhstad	Heau Chi Minhstad
Hoek van Holland	Ho-ek van Holland	Hoenk van Holland	Hoijk van Holland	Hoequ van Holland	Hoecc van Holland	Houtk van Holland	Hoaik van Holland	Heauek van Holland	Hoec van Holland	Hoe k van Holland
Hof van Twente	Heauf van Twente
Hoge Atlas	Hogen Atlas
Hoge Tatra	Hogen Tatra
Hoge Venen	Hoge Venijn	Hoge Vennen	Hoge Veen	Hogen Venen
Hooge Zwaluwe	Hooge Zwaluwen
Hoogland van Auvergne	Ho-ogland van Auvergne	Hooglland van Auvergne	Hooglandd van Auvergne	Hoochland van Auvergne	Heaugland van Auvergne	Hooggeland van Auvergne	Heauogland van Auvergne	Hoeaugland van Auvergne
Hoogland van Bolivia	Ho-ogland van Bolivia	Hooglland van Bolivia	Hooglandd van Bolivia	Hoochland van Bolivia	Heaugland van Bolivia	Hooggeland van Bolivia	Heauogland van Bolivia	Hoeaugland van Bolivia
Hoogland van Brazilië	Ho-ogland van Brazilië	Hooglland van Brazilië	Hooglandd van Brazilië	Hoochland van Brazilië	Heaugland van Brazilië	Hooggeland van Brazilië	Heauogland van Brazilië	Hoeaugland van Brazilië
Hoogland van Dekan	Ho-ogland van Dekan	Hooglland van Dekan	Hooglandd van Dekan	Hoochland van Dekan	Heaugland van Dekan	Hooggeland van Dekan	Heauogland van Dekan	Hoeaugland van Dekan
Hoogland van Guyana	Ho-ogland van Guyana	Hooglland van Guyana	Hooglandd van Guyana	Hoochland van Guyana	Heaugland van Guyana	Hooggeland van Guyana	Heauogland van Guyana	Hoeaugland van Guyana
Hoogland van Iran	Ho-ogland van Iran	Hooglland van Iran	Hooglandd van Iran	Hoochland van Iran	Heaugland van Iran	Hooggeland van Iran	Heauogland van Iran	Hoeaugland van Iran
Hoogland van Mexico	Ho-ogland van Mexico	Hooglland van Mexico	Hooglandd van Mexico	Hoochland van Mexico	Heaugland van Mexico	Hooggeland van Mexico	Heauogland van Mexico	Hoeaugland van Mexico
Hoogland van Shaba	Ho-ogland van Shaba	Hooglland van Shaba	Hooglandd van Shaba	Hoochland van Shaba	Heaugland van Shaba	Hooggeland van Shaba	Heauogland van Shaba	Hoeaugland van Shaba
Hoorn van Afrika	Hoirn van Afrika	Ho-orn van Afrika	Heaurn van Afrika	Heauorn van Afrika	Hoeaurn van Afrika
Horst aan de Maas	Horsth aan de Maas	Horst a-an de Maas	Horsst aan de Maas	Horst aan de Maass	Horst aan den Maas	Horent aan de Maas	Horst aan dij Maas	Horsd aan de Maas	Horscht aan de Maas	Heaurst aan de Maas
Hugo Brandt Corstius	Hoego Brandt Corstius	Hucho Brandt Corstius	Hijgo Brandt Corstius	Huggeo Brandt Corstius	Hugeau Brandt Corstius
Hugo Claus	
Hugo de Groot	Hugo Den groot	Hugo den Groot	Hoego de Groot	Hugo dij Groot	Hucho de Groot	Hijgo de Groot	Huggeo de Groot	Hugeau de Groot
IJzeren Poort	IJzeren Poort	IJzerenpoort
ISO 8859-1	
Iberisch Randgebergte	Iberisch Randgebergten
Idi Amin	
Ierse Zee	Ierse Zeen
Indisch-Antarctisch Bekken	Indisch-Antarctisch Bekke
Indische Archipel	
Indische Oceaan	
