's anderendaags	's  anderendaags
grand seigneur	
grand slam	
grand slams	
granny smith	
groen geverfd	groengeverfd
grosso modo	
halt houden	
hand in hand	handd in hand
happy end	happy ent
happy few	
happy hour	
hare krisjna	haren krisjna
haricots verts	
haring kaak	haringkaak
haring kaakt	
haring kaken	haring-kaken	haringskaken
haring speten	haring spetten	haring spijten
haute couture	
haute cuisine	
heavy metal	
heden ten dage	hede ten dage	heden te dage	henden ten dage	hedenn ten dage	heden ten dagen	hedden ten dage	hijden ten dage	hedijn ten dage	heden den dage	hten ten dage	heden ten daag	haiden ten dage	hedain ten dage	hededen ten dage
heer des huizes	he-er des huizes	hener des huizes	heenr des huizes	heërs des huizes	hijer des huizes	heijr des huizes	hér des huizes	hër des huizes	haier des huizes	heair des huizes
heg noch steg	heng noch steg	heg noch steng	hijg noch steg	heg noch stijg	hech noch steg	heg nog steg	haig noch steg	hegge noch steg
heilig verklaard	heilig verklaart
hepatitis B-injectie	hepatitis-B-injectie	hepatitistb-injectie
het is menens	heth is menens	hent is menens	hijt is menens	hed is menens	hait is menens
high five	
high society	
hocus pocus	
homo australopithecus	
homo erectus	
homo habilis	
homo sapiens	
homo universalis	
honderd miljoen	
honoris causa	
hora est	hora ijst
huis aan huis	hu-is aan huis	huiss aan huis	hoeis aan huis	hijis aan huis	huisch aan huis	heus aan huis	huis aan heus
human resources	human ressources
huns weegs	
hysteron proteron	
ideale gaswet	idealen gaswet
idiot savant	
in absentia	
in abstracto	
in allen gevalle	in alle gevalle	in allen gevallen
in beslag nemen	in beslag neme	in bijslag nemen
in casu	
in concreto	
in de lorum	in den lorum	in dij lorum
in de luren leggen	in den luren leggen	in de loeren leggen	in dde luren leggen	in dij luren leggen	in dai luren leggen	in dede luren leggen
in defensiekringen	
in den beginne	in de beginne	in den beginnen	in dijn beginne	in deden beginne
in den lande	in de lande	in den landen	in den landde	in dijn lande	in deden lande
in den vreemde	in de vreemde	in den vreemden	in dijn vreemde	in deden vreemde
in dier voege	in dier voegen
in dubio	
in duplo	
in dusverre	
in een mum van tijd	in ee mum van tijd	in e-en mum van tijd	in enen mum van tijd	in eenn mum van tijd	in een moem van tijd	in een mum van tijd	in ijen mum van tijd	in eijn mum van tijd	in een mijm van tijd	in én mum van tijd	in ën mum van tijd	in aien mum van tijd	in eain mum van tijd
in extenso	
in extremis	
in familiehanden	
in feite	in feiten
in gebreke	in gebreken
in gebruik nemen	in gebruik neme
in gebruik stellen	
in godsnaam	
in groten getale	in grote getale	in grotten getale
in hemelsnaam	
in het zweet zijns aanschijns	in heth zweet zijns aanschijns	in het zweeth zijns aanschijns	in het zwe-et zijns aanschijns	in hent zweet zijns aanschijns	in het zwenet zijns aanschijns	in het zweent zijns aanschijns	in het zweet zijns aanschijns	in hijt zweet zijns aanschijns	in het zwijet zijns aanschijns	in het zweijt zijns aanschijns	in hed zweet zijns aanschijns	in het zweed zijns aanschijns	in het ssweet zijns aanschijns	in het zwét zijns aanschijns
in koelen bloede	in koele bloede	in koelen bloeden	in koelen bloedde	in koelen blote
in memoriam	
in modekringen	modekringen
in natura	
in optima forma	
in petto	
in privéhanden	privéhanden
in regeringshanden	
in spe	
in staatshanden	staatshanden
in stand houden	
in stand houdend	instandhoudend
in stand houdende	
in statu nascendi	
in studentenkringen	
in triplo	
in vivo	
in voce	
in vredesnaam	
in werking treden	in werking trede
in z'n uppie	
in zoverre	
in- en ingemeen	in- e ingemeen
ingenomen met	ingenomen ment	ingenomen mijt
ingenomen tegen	ingenomen tijgen	ingenomen degen
ins en outs	ins e outs	inss en outs	ins en ouds	insch en outs
intensive care	
ipso facto	
jaar in jaar uit	ja-ar in jaar uit	ijaar in jaar uit
jaar op jaar	ja-ar op jaar	ijaar op jaar
jack russell	
jeu de boules	je-u de boules	jenu de boules	jeu den boules	jeoe de boules	ijeu de boules	jiju de boules	jeu dij boules	jeij de boules	ëu de boules	jaiu de boules
jeune premier	
joint venture	joint venturen
junior manager	
just in time	justh in time	jusst in time	just in timen	joest in time	ijust in time	jusd in time	jijst in time	juscht in time
karnemelkse pap	
kijk- en luistergeld	kijk- e luistergeld	ki-jk- en luistergeld	kijk- en luistergeld	keik- en luistergeld	quijk- en luistergeld	kijqu- en luistergeld	ccijk- en luistergeld	kijcc- en luistergeld	cijk- en luistergeld	kijc- en luistergeld
kinds zijn	kinds zijn
klein houden	
kol nidrei	col nidrei
kond doen	kond doe
kort geding	
korte golf	kortte golf	korten golf	korde golf
kunst- en vliegwerk	kunst- e vliegwerk	kunsth- en vliegwerk	kunsst- en vliegwerk	koenst- en vliegwerk	kunsd- en vliegwerk	kijnst- en vliegwerk	kunscht- en vliegwerk	quunst- en vliegwerk	ccunst- en vliegwerk	cunst- en vliegwerk
laisser aller	
laisser faire	
laissez passer	
land- en volkenkunde	land- e volkenkunde	lland- en volkenkunde	landd- en volkenkunde
lapis lazuli	
last minute	last minuten
latin jazz	
latin lover	
latin rock	
leeg raken	leeg rake	leeg racen
licht verteerbaar	ligt verteerbaar
light verse	
lik op stuk	llik op stuk	liqu op stuk	licc op stuk	lic op stuk	lik op stuc
linea recta	
lingua franca	
lost generation	
low budget	
low cost	low kost
low profile	
magisch realisme	
managing director	
mastino napoletano	
mavo 4-leerling	mavo-4-leerling
maître d'hôtel	
mea culpa	
mer à boire	menr à boire	mërs à boire	mijr à boire	mair à boire
met dien verstande	met die verstande	meth dien verstande	ment dien verstande	mijt dien verstande	med dien verstande	mait dien verstande
met veel verve	meth veel verve	ment veel verve	met veel verven	mijt veel verve	med veel verve	mait veel verve
met verve	ment verve	met verven	mijt verve
met voorbedachten rade	met voorbedachte rade	meth voorbedachten rade	ment voorbedachten rade	met voorbedachten raden	met voorbedachten radde	mijt voorbedachten rade	med voorbedachten rade	mait voorbedachten rade
middle class	
mijn en dijn	mijn e dijn	mi-jn en dijn	mijn en dijn	mein en dijn	mijn en dein
mijns inziens	mijns inziens
militant nationalistisch	
minimal art	
minimal music	
mis poes	miss poes
mixed grill	mixend grill	mixt grill
mixed pickles	mixend pickles	mixt pickles
mo A	mora
mo A-akte	mo A-akten
mo B	
moleculair bioloog	
moment suprême	
mond op mond	montd op mond	mondd op mond	meaund op mond
multiple choice	
multiple sclerose	
mutatis mutandis	
naar binnen	
naar de barbiesjes	na-ar de barbiesjes	naar den barbiesjes	naar dij barbiesjes
naar de barrebiesjes	na-ar de barrebiesjes	naar den barrebiesjes	naar dij barrebiesjes
naar den vleze	naar de vleze	na-ar den vleze	naar den vlezen	naar dijn vleze	naar deden vleze
naar hartenlust	naar hartenlijst
nasi goreng	
nasi rames	
native speaker	
nek aan nek	nenk aan nek	nijk aan nek	nequ aan nek	necc aan nek	naik aan nek	nec aan nek
new age	
new wave	
niet-gouvernementele organisatie	
no cure	
no pay	
noblesse oblige	
nogal wiedes	
nolens volens	
nom de guerre	nom den guerre	nom dij guerre	neaum de guerre
nom de plume	nom den plume	nom dij plume	neaum de plume
nooit ofte nimmer	nooith ofte nimmer	noo-it ofte nimmer	no-oit ofte nimmer	nooid ofte nimmer	neauit ofte nimmer	neauoit ofte nimmer	noeauit ofte nimmer
not amused	
nota bene	nota benen
nouveaux riches	
numerus clausus	
numerus fixus	
o jee	eau jee
of all people	eauf all people
of all places	eauf all places
of zo	
old boys network	olld boys network	oldd boys network	eauld boys network
olie voor voedsel	oli-e voor voedsel	olien voor voedsel	ollie voor voedsel	oliij voor voedsel	oly voor voedsel	oly' voor voedsel	olie voort voedsel	oliai voor voedsel	eaulie voor voedsel	oli voor voedsel
om den brode	om de brode	om den broden	om dijn brode	om deden brode	eaum den brode
om en om	om e om	eaum en om
on speaking terms	ont speaking terms	eaun speaking terms
on the rocks	
onder ede	onder ende	onder eden	onder te
onder meer	
ongelovige thomas	ongelovigen thomas
onov. ww.	
onverrichter zake	onverrichter zaken
onzes inziens	
oorlog voeren	oorlogvoeren
op ad-hocbasis	op at-hocbasis	ophad-hocbasis
op de bonnefooi	op den bonnefooi	op dij bonnefooi	eaup de bonnefooi
op de pof	op den pof	op dij pof	eaup de pof
op ooghoogte	ophooghoogte
op uitleenbasis	
op zichzelf	
open source	
openbaar maken	openbaar make
oral history	
oratio pro domo	orathio pro domo	oradio pro domo	eauratio pro domo	oratieau pro domo
ouder gewoonte	ouder gewoonten
out of the blue	
over the counter	
overboord gooien	
pain à la grecque	pen à la grecque	pa-in à la grecque
panna cotta	
par excellence	
pars pro toto	parss pro toto	parsch pro toto
partij kiezen	partij kiezen
pas de deux	pass de deux	pas den deux	pas dij deux	pasch de deux
pas op de plaats	pass op de plaats	pas op den plaats	pas op dij plaats	pasch op de plaats	pas eaup de plaats
paso doble	
patates frites	
patati patata	
pater familias	
patience spelen	patience spellen	patience spijlen	patience spellingen
peau de pêche	pea-u de pêche	penau de pêche	peau den pêche	peaoe de pêche	pijau de pêche	peau dij pêche	peaij de pêche	paiau de pêche
per capita	pair capita
per se	pair se	perse
perpetuum mobile	
persona non grata	personta non grata	perssona non grata	penrsona non grata	përssona non grata	pijrsona non grata	perschona non grata	pairsona non grata	perseauna non grata
personal computer	
petit restaurant	
pico bello	
pisang goreng	
pièce de résistance	piècen de résistance	pièce den résistance	pièke de résistance	pièsse de résistance	piècij de résistance	pièce dij résistance	piècai de résistance
plaats delict	plaats-delict
plan de campagne	plan den campagne	pllan de campagne	plan dij campagne
plat du jour	plath du jour	plat doe jour	pllat du jour	plad du jour	plat dij jour
poste restante	postte restante	posten restante	poste restanten
posttraumatisch stresssyndroom	
premie A-woning	premie-A-woning
prima donna	
primus inter pares	primuss inter pares	primoes inter pares	primijs inter pares	primusch inter pares
pro Deo	
pro bono	
pro forma	
pro memorie	pro memory
pseudologia fantastica	
public relations	
pur sang	poer sang
qualitate qua	qualitate ka
qui pro quo	qu-i pro quo	qoei pro quo	qiji pro quo	qeu pro quo	ki pro quo	kwi pro quo
recht voor z'n raap	rechth voor z'n raap	recht voir z'n raap	recht vo-or z'n raap	rencht voor z'n raap	rechts voor z'n raap	rekht voor z'n raap	ressht voor z'n raap	rijcht voor z'n raap	rechd voor z'n raap	regt voor z'n raap	recht voort z'n raap	regd voor z'n raap	recht veaur z'n raap	raicht voor z'n raap	recht veauor z'n raap
rechttoe rechtaan	
rector magnificus	
reductio ad absurdum	reducthio ad absurdum	renductio ad absurdum	redoectio ad absurdum	redductio ad absurdum	reduktio ad absurdum	redusstio ad absurdum	rijductio ad absurdum	reducdio ad absurdum	redijctio ad absurdum	rtuctio ad absurdum	raiductio ad absurdum	reductieau ad absurdum
remedial teacher	
remedial teaching	
remote sensing	
rigor mortis	
roaring twenties	
roestvrij staal	roestvrij staal
rond krijgen	rond krijgen
ruim bemeten	
running gag	
running mate	running matte	running maten	running made
salade niçoise	
salam aleikum	
salto mortale	saldo mortale
second opinion	
selffulfilling prophecy	
senior partner	
septic tank	septic dank
shish kebab	
short story	
sinds mensenheugenis	
slecht verlicht	slecht verligt
slow motion	
sociaal geneeskundige	sociaal geneeskundigen
sociaal geograaf	
sociaal psycholoog	sociaalpsychologisch
sociaal verpleegkundige	sociaal verpleegkundigen
socialistisch realisme	socialistisch-realistisch
sotto voce	
spic en span	spic e span	sspic en span	spik en span	spiss en span	schpic en span
spina bifida	
stage lopen	stagen lopen	staag lopen
stante pede	stante pende
stap voor stap	sthap voor stap	sstap voor stap	sdap voor stap	schtap voor stap	stap voort stap
state of the art	
stenen gooien	steen gooien
stille willie	stillen willie
stroomaf- en stroomopwaarts	stroomaf- e stroomopwaarts	sthroomaf- en stroomopwaarts	stro-omaf- en stroomopwaarts	sstroomaf- en stroomopwaarts	sdroomaf- en stroomopwaarts	schtroomaf- en stroomopwaarts	streaumaf- en stroomopwaarts	streauomaf- en stroomopwaarts	stroeaumaf- en stroomopwaarts
stroomop- en stroomafwaarts	stroomop- e stroomafwaarts	sthroomop- en stroomafwaarts	stro-omop- en stroomafwaarts	sstroomop- en stroomafwaarts	sdroomop- en stroomafwaarts	schtroomop- en stroomafwaarts	streaumop- en stroomafwaarts	streauomop- en stroomafwaarts	stroeaumop- en stroomafwaarts	stroomeaup- en stroomafwaarts
studium generale	
